#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-08-18T19:40:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
#
#RESOURCE=yCat_35870081
#Name: J/A+A/587/A81
#Title: T Tauri stars X-ray/accretion anti correlation (Bustamante+, 2016)
#Table J_A_A_587_A81_sphalpha:
#Name: J/A+A/587/A81/sphalpha
#Title: Stellar parameters of sources which mass accretion rates were derived using the equivalent width of the H{alpha} line (table 4a)
#Table J_A_A_587_A81_sp2cd:
#Name: J/A+A/587/A81/sp2cd
#Title: Stellar parameters of sources which mass accretion rates were derived using excesses in the U band (table 4b)
#---Details of Columns:
#   COUP              (I4)    Identification number from COUP catalog [ucd=meta.id;meta.main]
#   RAJ2000 (deg)     (F8.4)  Right ascension (J2000) from COUP catalog [ucd=pos.eq.ra;meta.main]
#   DEJ2000 (deg)     (F8.4)  Declination (J2000) from COUP catalog [ucd=pos.eq.dec;meta.main]
#   logLX ([10-7W]) (F8.5)  Logarithmic X-ray luminosity from COUP catalog [ucd=phys.luminosity;em.X-ray]
#   SpType            (A4)    MK spectral Type from Manara et al. (2012, Cat. J/ApJ/755/154) [ucd=src.spType]
#--- -------- -------- -------- -------- -- -------- -------- -------- --------
#                                                                           
#  Note: original observations have been slightly manipulated to emulate a more non-standard distribution!
#                                                                           
COUP  RAJ2000  DEJ2000   logLX  SpType
1095  83.8348  -5.4382  29.0876   M5
1096  83.8346  -5.5110  30.1076   M0
1097  83.8351  -5.2873  29.8476   M1
1100  83.8350  -5.3704  29.7976   M0
1103  83.8357  -5.3453  29.6976   M3
1104  83.8356  -5.3478  29.7576   M3
1107  83.8356  -5.4058  27.3159   E5
1110  83.8360  -5.3793  29.7776   M4
1111  83.8362  -5.3981  30.2976   M4
1117  83.8366  -5.3653  29.5776   M0
1121  83.8369  -5.3584  29.3676   M4
1124  83.8372  -5.3894  29.2676   M0
1130  83.8377  -5.3970  33.6621   G8
1132  83.8377  -5.4692  29.1476   K8
1134  83.8375  -5.5227  30.0676   K5
1135  83.8382  -5.3059  28.7876   M4
1138  83.8383  -5.3925  27.2874   M4
1139  83.8382  -5.4325  29.4976   M0
1141  83.8386  -5.3832  29.5876   M3
1150  83.8389  -5.4032  29.0376   M0
1154  83.8398  -5.3515  29.4776   M3
1155  83.8396  -5.3880  29.0376   M3
1161  83.8403  -5.4240  30.3912   M0
1162  83.8401  -5.4493  28.8076   M5
1163  83.8402  -5.4541  27.6675   M5
1166  83.8408  -5.3863  28.9776   M1
1167  83.8407  -5.3943  29.1476   K5
1169  83.8406  -5.4457  28.9376   M2
1171  83.8411  -5.3690  29.5676   M2
1182  83.8414  -5.4742  28.6376   M3
1186  83.8420  -5.4709  29.7776   K8
1191  83.8422  -5.3761  29.2276   K7
1195  83.8428  -5.3024  28.3676   M5
1201  83.8427  -5.3715  26.8682   M4
1202  83.8425  -5.4437  29.8276   M0
1204  83.8427  -5.4768  28.0986   M6
1206  83.8433  -5.4579  29.3476   M4
1207  83.8429  -5.5213  28.9876   M6
1210  83.8436  -5.3670  29.9876   K5
1212  83.8434  -5.4193  29.5976   M3
1214  83.8436  -5.4364  28.5376   M2
1216  83.8440  -5.3955  29.2076   K7
1236  83.8455  -5.5413  29.9976   M1
1241  83.8463  -5.4375  28.6776   M5
1242  83.8468  -5.3599  28.7676   M3
1243  83.8469  -5.4760  27.5630   M7
1245  83.8473  -5.3571  29.5676   K5
1246  83.8472  -5.4695  30.3076   M3
1248  83.8475  -5.3141  30.7235   M0
1252  83.8481  -5.3158  30.1376   M0
1259  83.8486  -5.3922  32.0892   K6
1260  83.8486  -5.3962  28.0084   M1
1261  83.8487  -5.4159  30.1476   M5
1263  83.8487  -5.4408  28.0539   M3
1264  83.8490  -5.3111  29.4976   M2
1265  83.8488  -5.3889  28.0313   M3
1269  83.8493  -5.5132  31.5528   K0
1271  83.8499  -5.3188  28.9776   M3
1280  83.8505  -5.3655  28.9076   M4
1281  83.8511  -5.4219  29.5076   K4
1282  83.8510  -5.4992  29.3276   M2
1288  83.8513  -5.4790  28.6276   M6
1289  83.8519  -5.4003  28.5976   M1
1291  83.8520  -5.4421  29.2776   M4
1292  83.8521  -5.2833  29.8876   M1
1295  83.8527  -5.3193  27.0224   M3
1299  83.8528  -5.3785  29.5676   M4
1302  83.8529  -5.4099  29.0876   K8
1305  83.8530  -5.4738  28.5276   M4
1306  83.8537  -5.4195  29.1776   M3
1309  83.8544  -5.3829  30.4970   K1
1311  83.8546  -5.3963  29.9976   K2
1314  83.8548  -5.3737  29.4576   M1
1319  83.8551  -5.4977  28.4876   M5
1320  83.8552  -5.5559  29.5776   M4
1327  83.8562  -5.3599  29.6876   K6
1333  83.8570  -5.5057  30.0076   M0
1334  83.8571  -5.5107  28.1856   M5
1335  83.8572  -5.3859  30.2676   K6
1336  83.8573  -5.4449  29.7876   M0
1342  83.8584  -5.4299  29.9976   K8
1345  83.8592  -5.4224  27.9387   M6
1347  83.8591  -5.5050  28.1425   M2
1355  83.8596  -5.4623  30.0676   M0
1361  83.8602  -5.5046  28.0539   M6
1362  83.8608  -5.2980  28.6376   M3
1373  83.8623  -5.4134  28.6776   M6
1378  83.8636  -5.5069  27.0224   M5
1380  83.8638  -5.3935  31.0217   K4
1384  83.8644  -5.4412  31.4350   K8
1387  83.8646  -5.4572  29.9776   M3
1388  83.8648  -5.4753  29.7776   M4
1391  83.8656  -5.3013  31.1275   M1
1396  83.8655  -5.4810  28.6576   M7
1404  83.8669  -5.2890  29.0676   M4
1407  83.8672  -5.3851  29.3576   M3
1410  83.8682  -5.2985  30.5187   M1
1411  83.8682  -5.3064  29.4576   M4
1412  83.8683  -5.4176  30.1676   M1
1413  83.8686  -5.3173  28.8876   M3
1421  83.8712  -5.4863  30.1576   M0
1423  83.8723  -5.4295  29.8576   M4
1426  83.8729  -5.4270  28.0539   M6
1429  83.8733  -5.4158  30.0876   M1
1431  83.8737  -5.5069  28.8976   M3
1432  83.8736  -5.5200  28.8776   M2
1435  83.8744  -5.3987  28.4576   M2
1438  83.8762  -5.4310  29.7576   M3
1444  83.8768  -5.4274  30.5187   K8
1445  83.8770  -5.4753  28.8976   M2
1447  83.8779  -5.4197  29.1676   M3
1448  83.8778  -5.4547  29.7976   M3
1449  83.8780  -5.3020  30.2076   M1
1454  83.8784  -5.5100  29.7676   M4
1455  83.8788  -5.3050  29.8576   M3
1457  83.8789  -5.4233  29.1976   M3
1458  83.8791  -5.4289  28.8676   M5
1459  83.8794  -5.3125  27.5363   M6
1464  83.8801  -5.3255  29.4676   M5
1474  83.8809  -5.4711  29.3876   M5
1478  83.8818  -5.2829  29.3276   M3
1481  83.8825  -5.4928  29.9176   M4
1495  83.8866  -5.2940  28.9576   M0
