        x1          y1         x2          y2         x3           y3        x4          y4          x5          y5
 3.8472958 -0.01023617 8.74441252 -1.19745561 5.29705054  0.557789872 6.4934626 -0.21792780 7.639846040 -2.07167448
 2.8420355  2.74106888 5.98613230  0.88283932 7.06519885  0.286776072 0.7806109  0.82121964 7.845924909 -0.59888814
 0.9900569  1.16629130 2.03966591  0.73313926 0.03111122  1.443369854 0.1814821  0.67133172 0.244893639  1.48281955
 0.2066095  0.68618216 6.22443633 -0.09756353 8.66508820  0.030794813 5.5958456 -2.08209953 5.790698770 -0.47675914
 3.7953476  0.78626219 5.14144093  0.36217096 9.82366973 -1.117498122 2.1606481  0.40310994 7.385241725 -0.13339260
 5.5006352 -1.29502669 8.61219147 -1.11855918 6.65737812  0.993661668 7.1178737 -0.74775837 9.959904004 -1.84939313
 6.2859197 -0.51030730 1.73795896 -0.34557231 3.26386546  0.776238540 8.6558063  0.11907507 8.247315169  0.15410246
 1.9945689  0.39175636 5.57088460  1.36831148 3.39035911  0.206821404 3.5979830  0.34338210 7.215006188 -1.44882650
 8.7323612 -1.00176853 0.21578940  0.39776185 2.95656387  0.650769665 6.1976494  0.35328498 0.091623019 -0.84493134
 2.4791334  0.55197041 1.77372381  0.82963290 8.42756345 -0.245909546 7.2827133 -0.99427100 4.483760889 -1.04212446
 3.7770734 -0.83880908 7.90272222 -0.51164685 7.26891342 -0.761772863 4.0610858  1.37993364 8.329573101 -1.47966210
 3.8372148 -0.14238542 7.00136837  0.94287993 3.53576886  0.322707907 0.1762731 -0.43282503 5.520927222  0.62354638
 5.9816483 -0.55491158 4.18226979 -0.39804952 4.87616351  2.444639357 9.6915783 -2.21063365 4.618960302 -1.95066611
 2.5067552  0.05096464 5.19687039  0.77403220 3.97417021  0.286721959 2.7467671 -0.01321329 0.489246072  1.08284685
 9.5445674  0.15765904 5.68803635 -1.18382053 9.95377670 -0.245998964 0.1807754  2.92815925 3.858011463  1.34168654
 4.5705663  1.42979530 2.28659784  1.02501624 8.87573025 -2.238013961 8.9264246 -0.29694861 7.384395762 -0.46603083
 2.1243373 -0.06808075 6.15227283  1.28900974 8.18406848 -0.752638509 9.9294921 -1.73537418 9.098204193 -1.48366179
 2.0896883  1.41741961 0.01585299  2.14764968 8.34434099  0.287898609 2.8029414  0.58485093 7.910690121  1.15236477
 3.2309304  0.13459015 4.31519680 -1.23237654 9.92098568 -0.286521585 4.9272393 -0.35289359 3.206927020 -0.48584709
 9.6576050 -0.90108149 9.37137365 -1.86818212 7.82099801 -0.790068415 8.0935967 -1.27106662 0.135933217  1.83536070
 6.5258164 -1.85032904 4.72303948  0.21001038 1.78128296 -0.388954245 2.4005818  1.53239459 9.063921084  0.51665875
 7.8263592 -1.58039743 3.94631148 -0.10684992 1.41073711  0.281451122 5.7303567 -0.87713280 5.383962994 -0.50531888
 5.6359188 -0.21780060 9.17348134 -0.42185013 7.38786077 -0.143719241 6.9859389 -0.28891756 1.337214091  1.65047854
 3.6378435  0.45201693 8.32654509 -2.05499916 8.50566044  0.582436296 4.7903909  1.01102051 3.452961987 -0.55859101
 6.0323554  0.77514461 0.56490034  1.01582210 6.00110457 -0.359955189 1.1599419  1.41361793 1.511268616  0.29715051
 2.3904245  1.74249888 7.30047975  0.17086997 7.21577242 -1.036221472 6.0460153 -1.79536406 6.915036729  0.01676095
 0.1007537 -0.03977195 2.21404634  2.31381741 7.62699626  0.072194848 2.1528801 -0.71814190 7.898268665 -1.16736387
 2.0068226  1.82459798 4.14124347  0.67539224 6.79036156 -1.057913535 1.5173916  0.09908890 7.146276559 -1.40491960
 8.1539838 -0.01239138 0.20291250 -0.06942435 5.59261290 -0.086807872 1.1506280  0.40502095 5.597075259 -0.02574409
 3.4239808  0.39058102 3.80247969  1.83577269 0.71380436 -1.005731574 9.2387758  0.01764198 2.034853231 -0.68604252








